fuel_type,plant_age_years,efficiency_percent,capacity_factor_percent,load_factor,weather_impact_factor,maintenance_factor,region,grid_demand_mw,operating_temp_celsius,distance_to_grid_km,electricity_generated_mwh,co2_emissions_tonnes
Wind,5.4,39.39,22.67,0.962,0.696,1.0,North,5077.06,25.8,31.2,478.29,6.37
Wind,38.8,28.71,25.89,0.99,1.226,0.95,South,6550.42,7.3,31.7,95.68,2.53
Natural_Gas,9.8,52.39,53.74,0.926,1.0,1.0,East,5302.48,29.4,90.4,4229.94,1777.5
Solar,20.7,21.42,23.47,0.844,1.177,1.0,South,5340.77,24.2,30.7,858.4,130.69
Wind,14.8,32.52,43.13,0.595,1.021,1.0,South,3806.89,9.5,62.2,804.81,14.5
Nuclear,9.5,35.87,84.54,0.971,1.0,0.95,West,7867.17,31.2,4.5,16066.67,386.44
Nuclear,29.1,33.83,82.74,0.321,1.0,1.0,South,5692.72,33.1,49.9,6631.85,241.5
Coal,1.2,36.02,73.33,0.921,1.0,1.0,East,4011.65,37.5,41.3,6079.15,7238.29
Hydroelectric,27.9,92.61,53.79,0.784,1.049,1.0,Central,5386.96,27.5,19.1,1532.79,22.0
Solar,35.7,13.79,18.14,0.997,0.902,1.0,North,6473.88,30.8,16.9,197.7,51.04
Coal,24.6,34.65,59.53,0.668,1.0,1.0,East,2358.07,26.4,53.0,9441.96,15724.97
Hydroelectric,5.4,92.08,55.83,0.435,0.814,1.0,North,6315.83,39.8,80.2,47.39,0.61
Biomass,14.8,21.99,39.05,0.609,1.0,0.95,West,6272.24,22.2,47.2,1126.83,704.16
Coal,37.0,32.52,62.41,0.811,1.0,1.0,North,6614.47,22.4,35.0,15290.17,28371.63
Solar,6.1,13.49,28.05,0.905,0.866,1.0,East,4842.65,15.8,86.5,718.58,154.58
Wind,26.8,36.94,42.72,0.589,1.154,1.0,South,4544.32,29.7,77.5,284.96,5.18
Coal,14.5,25.69,65.83,0.393,1.0,1.0,Central,4637.22,31.7,27.7,4419.87,8909.62
Coal,19.9,34.48,87.18,0.956,1.0,0.95,East,3368.23,27.6,1.8,14994.61,23198.65
Hydroelectric,23.7,89.54,51.74,0.665,1.026,1.0,Central,6913.67,38.5,85.6,825.98,13.51
Hydroelectric,27.2,85.23,53.98,0.461,0.958,1.0,South,5517.08,11.0,39.2,873.34,17.04
Natural_Gas,8.0,50.11,55.55,0.783,1.0,1.0,Central,5122.39,18.0,17.6,2847.89,1081.17
Geothermal,37.0,12.79,19.69,0.32,1.0,1.0,East,3412.81,1.7,49.3,15.13,2.82
Natural_Gas,7.2,49.44,87.53,0.592,1.0,1.0,Central,5558.74,17.9,95.5,5531.15,2208.4
Natural_Gas,24.7,47.07,56.34,0.371,1.0,1.0,Central,5119.05,21.4,42.7,2259.04,1012.4
Coal,33.7,30.19,87.85,0.907,1.0,1.0,South,1956.84,29.4,90.7,14054.69,26740.13
Natural_Gas,33.3,46.96,44.69,0.931,1.0,1.0,East,4900.04,30.7,90.2,2274.6,1158.23
Natural_Gas,31.8,48.86,57.49,0.78,1.0,0.95,South,4403.3,28.4,18.8,4109.44,2017.63
Wind,32.3,32.91,35.47,0.446,0.927,1.0,East,4080.04,22.3,58.7,310.88,6.5
Biomass,24.7,19.74,23.61,0.729,1.0,1.0,North,6214.11,27.0,82.4,746.6,563.35
Hydroelectric,27.2,95.0,55.85,0.78,0.803,1.0,Central,3499.57,41.1,5.2,1479.43,23.08
Coal,31.2,32.55,80.36,0.389,1.0,1.0,West,5332.76,36.9,9.2,4831.36,7897.79
Hydroelectric,33.2,83.23,38.8,0.901,1.055,1.0,West,3575.17,30.7,48.5,2917.1,53.66
Biomass,40.0,20.67,38.61,0.991,1.0,1.0,Central,3757.43,44.3,83.3,1351.98,1144.97
Nuclear,33.5,33.87,80.56,0.996,1.0,1.0,South,5677.73,25.8,63.9,12707.24,412.52
Coal,29.9,37.21,71.47,0.816,1.0,1.0,North,2425.55,23.4,48.3,13737.79,20400.26
Coal,11.0,38.48,65.31,0.547,1.0,1.0,West,5647.87,20.9,9.0,10572.77,12839.84
Coal,5.3,31.87,67.43,0.839,1.0,1.0,South,5624.43,26.5,93.0,14255.49,19706.12
Coal,23.1,36.61,52.16,0.649,1.0,0.95,South,4493.76,17.5,39.1,5696.38,8810.9
Coal,3.5,34.83,72.21,0.812,1.0,1.0,South,3211.03,19.9,81.1,11440.0,15754.15
Natural_Gas,32.9,52.62,57.65,0.702,1.0,1.0,West,5557.5,35.1,56.7,2800.57,1308.34
Coal,33.4,33.51,70.39,0.858,1.0,1.0,South,4336.37,21.1,79.7,10118.13,18025.31
Geothermal,37.9,16.46,18.18,0.565,1.0,1.0,North,4815.31,24.7,63.3,1115.17,160.77
Nuclear,26.9,27.1,86.78,0.959,1.0,1.0,Central,5257.01,28.8,36.1,17667.52,665.81
Solar,22.8,25.36,16.17,0.84,0.953,0.95,South,2661.99,12.5,73.4,391.61,54.83
Coal,39.5,30.56,61.72,0.543,1.0,0.95,South,5650.32,24.5,47.8,10574.49,20008.44
Coal,22.2,30.16,72.69,0.898,1.0,1.0,North,4081.64,26.4,85.6,11901.55,20881.68
Coal,26.8,34.59,79.25,0.864,1.0,1.0,South,4569.78,21.1,31.6,11792.34,16899.92
Natural_Gas,37.3,46.53,42.27,0.649,1.0,1.0,East,4625.17,23.0,93.7,2521.71,1218.84
Nuclear,21.8,33.96,81.16,0.645,1.0,1.0,East,3495.25,27.8,39.6,17124.43,537.53
Nuclear,23.8,23.91,80.53,0.564,1.0,1.0,East,7369.02,29.5,93.2,3740.66,169.19
Natural_Gas,3.6,42.76,69.78,0.732,1.0,1.0,East,7844.07,41.8,27.4,8874.6,3673.17
Natural_Gas,22.8,50.6,34.7,0.832,1.0,1.0,South,4885.69,25.0,4.6,3941.19,1834.47
Hydroelectric,23.4,88.02,61.68,0.592,1.028,1.0,South,4377.53,24.1,41.7,1815.09,27.54
Hydroelectric,34.2,81.49,37.81,0.553,0.891,1.0,North,7899.62,13.4,66.0,45.23,0.84
Natural_Gas,9.6,51.24,51.36,0.439,1.0,1.0,South,3966.67,46.4,96.1,1569.27,618.81
Coal,27.4,28.77,72.42,0.562,1.0,1.0,North,5338.24,20.0,18.3,7141.12,12778.79
Coal,25.0,34.0,66.76,0.492,1.0,0.95,Central,3034.38,23.1,42.7,5115.63,8473.96
Nuclear,21.9,25.22,86.22,0.878,1.0,1.0,North,3543.37,33.0,86.1,22512.83,969.71
Coal,21.5,38.28,65.15,0.881,1.0,1.0,East,4750.29,44.2,64.9,11281.9,16166.67
Natural_Gas,37.8,46.92,86.74,0.64,1.0,1.0,Central,8021.14,28.3,57.5,3558.9,1781.53
Natural_Gas,19.5,49.78,68.66,0.943,1.0,0.95,Central,6693.81,27.6,22.9,147.54,63.3
Wind,21.0,26.5,32.68,0.599,0.887,1.0,South,3358.66,27.2,3.3,383.09,8.75
Hydroelectric,39.6,83.45,69.65,0.497,1.155,1.0,North,4824.58,19.7,81.7,2263.52,52.1
Natural_Gas,33.8,47.79,51.92,0.704,1.0,1.0,East,7279.24,23.4,64.4,2284.82,1174.93
Wind,29.7,36.02,23.76,0.582,0.959,1.0,North,3336.0,9.8,12.0,76.73,1.59
Coal,35.1,33.69,76.99,0.44,1.0,1.0,Central,3061.07,43.2,31.7,4922.23,9019.17
Coal,8.7,33.26,71.82,0.951,1.0,0.95,North,3839.86,17.8,59.1,9631.54,12948.91
Biomass,17.4,20.96,73.9,0.657,1.0,1.0,Central,4802.59,22.2,30.8,2565.14,2038.99
Biomass,22.6,24.28,46.77,0.363,1.0,1.0,South,5757.24,12.0,88.6,917.1,600.49
Geothermal,12.9,10.21,55.03,0.535,1.0,0.95,South,3655.79,36.8,30.2,1875.83,399.31
Natural_Gas,3.7,39.21,60.21,0.816,1.0,1.0,North,4273.36,33.2,21.4,9359.23,4576.63
Wind,26.1,33.42,50.34,0.449,0.627,1.0,West,4337.99,14.9,38.6,281.76,5.75
Natural_Gas,15.0,46.88,60.38,0.525,1.0,1.0,East,6013.1,28.4,94.2,3165.88,1475.19
Nuclear,18.8,28.86,92.34,0.589,1.0,1.0,Central,4533.84,23.8,82.0,3938.53,138.96
Natural_Gas,3.3,46.54,54.05,0.937,1.0,1.0,West,4562.36,27.9,5.5,7478.03,2743.07
Coal,8.9,36.14,74.34,0.948,1.0,1.0,North,4812.58,43.9,56.1,14899.83,19612.77
Coal,4.5,36.88,68.48,0.371,1.0,0.95,East,6303.06,29.5,75.3,4937.57,5878.17
Natural_Gas,5.5,50.04,61.95,0.905,1.0,1.0,Central,4981.18,9.6,57.0,4153.01,1491.74
Coal,27.3,29.55,71.45,0.698,1.0,1.0,East,2917.86,7.4,40.2,12752.48,23197.0
Nuclear,39.8,26.74,83.78,0.314,1.0,1.0,East,3914.53,25.4,49.9,5937.23,290.23
Natural_Gas,36.2,42.39,63.58,0.837,1.0,1.0,North,6811.93,41.4,4.6,7354.9,4412.9
Biomass,9.7,26.84,72.2,0.985,1.0,1.0,North,6043.5,35.8,14.2,3891.49,2030.1
Oil,40.0,41.75,51.25,0.349,1.0,1.0,North,6102.36,11.0,87.9,1026.12,1287.46
Natural_Gas,7.8,44.61,59.05,0.552,1.0,1.0,Central,1459.19,8.6,31.4,3612.48,1547.5
Coal,4.2,25.93,72.77,0.8,1.0,1.0,North,2577.74,-0.8,21.7,6253.67,10578.12
Solar,35.5,17.67,32.09,0.726,0.873,1.0,South,6210.62,22.5,51.4,161.42,33.87
Nuclear,4.5,32.82,85.35,0.354,1.0,1.0,West,3471.38,15.8,62.9,4407.55,125.74
Coal,23.2,33.76,65.52,0.821,1.0,1.0,West,3883.35,16.2,40.2,8274.7,12488.68
Natural_Gas,1.9,52.46,46.89,0.339,1.0,1.0,East,2551.98,23.6,19.6,2160.9,823.04
Coal,7.1,38.16,77.26,0.891,1.0,1.0,West,5518.28,14.3,22.1,10654.32,12604.33
Natural_Gas,14.2,50.9,71.4,0.505,1.0,1.0,North,5498.14,38.1,67.5,3267.01,1424.49
Coal,13.3,34.37,80.42,0.997,1.0,1.0,North,1920.09,29.1,36.7,10806.82,14810.4
Oil,4.9,42.36,50.15,0.351,1.0,1.0,West,2494.78,13.5,20.8,1188.5,990.4
Natural_Gas,36.7,41.52,59.15,0.425,1.0,1.0,East,4069.46,25.9,80.9,120.08,71.41
Oil,20.2,38.6,57.66,0.95,1.0,1.0,East,5453.91,13.5,69.5,2994.71,3273.4
Oil,17.4,44.85,39.92,0.531,1.0,1.0,South,4185.28,39.6,97.7,642.33,576.48
Hydroelectric,22.8,86.51,40.26,0.476,0.856,1.0,Central,6275.95,14.9,59.3,180.53,2.85
Natural_Gas,34.3,50.15,54.9,0.426,1.0,0.95,Central,6577.95,35.2,99.6,2859.11,1475.27
Nuclear,21.4,28.54,87.67,0.663,1.0,1.0,West,3359.0,29.2,88.2,12489.78,433.14
Coal,19.6,35.71,54.72,0.939,1.0,0.95,North,3553.21,20.8,36.0,12278.49,17548.18
Coal,31.0,33.52,67.16,0.887,1.0,1.0,North,3875.92,23.9,16.9,9948.59,17182.81
Hydroelectric,14.9,85.26,65.4,0.614,1.039,1.0,West,6151.68,31.7,3.0,2854.23,45.94
Coal,4.7,34.4,86.38,0.553,1.0,1.0,East,4177.81,40.5,8.2,11911.58,15930.36
Coal,8.2,38.58,75.53,0.531,1.0,1.0,Central,4732.62,22.3,41.1,8374.32,9997.39
Natural_Gas,18.9,47.88,66.69,0.615,1.0,1.0,South,3361.4,27.2,84.7,7126.43,3057.89
Coal,9.9,35.34,80.02,0.521,1.0,1.0,Central,6223.97,4.9,85.2,13884.3,17346.27
Coal,4.3,38.37,88.54,0.365,1.0,1.0,North,3274.99,29.2,16.0,8159.97,10029.12
Natural_Gas,38.8,47.67,46.74,0.962,1.0,1.0,East,5797.89,32.9,38.2,107.88,55.78
Natural_Gas,32.1,48.93,58.94,0.535,1.0,1.0,South,4669.79,42.0,39.0,2171.0,1140.9
Hydroelectric,39.7,85.95,44.09,0.781,1.088,1.0,West,4259.98,36.7,6.9,792.11,15.02
Coal,8.9,35.84,77.93,0.842,1.0,1.0,East,5773.89,28.9,19.3,15846.83,19670.4
Natural_Gas,26.0,40.22,71.03,0.364,1.0,1.0,South,4140.35,11.1,45.2,2392.78,1327.62
Natural_Gas,4.5,54.45,24.59,0.745,1.0,1.0,East,4860.79,27.2,62.7,1118.56,397.75
Hydroelectric,37.4,78.72,64.14,0.986,0.997,1.0,West,2434.04,21.8,16.9,1697.98,33.84
Natural_Gas,15.2,44.17,47.37,0.795,1.0,1.0,Central,6530.68,16.0,91.6,3451.44,1626.32
Coal,37.3,28.63,80.97,0.968,1.0,1.0,West,6075.32,16.1,7.8,13199.4,27206.85
Natural_Gas,20.4,50.47,68.48,0.619,1.0,1.0,West,4186.7,24.5,3.9,2597.75,1088.27
Natural_Gas,1.3,52.36,56.83,0.504,1.0,1.0,East,2662.2,21.7,47.5,1438.42,477.57
Nuclear,11.2,33.68,93.09,0.417,1.0,1.0,East,2550.91,22.6,35.1,5255.65,149.32
Oil,30.9,34.56,42.84,0.773,1.0,1.0,South,2401.81,13.5,56.6,299.47,427.1
Nuclear,23.3,30.15,81.49,0.937,1.0,1.0,North,3162.07,34.8,71.4,12126.14,404.12
Natural_Gas,25.9,50.11,71.46,0.975,1.0,0.95,East,2464.98,36.7,19.5,4760.29,2011.73
Coal,26.4,35.57,45.48,0.642,1.0,1.0,West,7217.18,29.4,88.6,7105.6,11170.91
Biomass,20.0,17.44,50.77,0.94,1.0,1.0,West,5247.97,26.3,22.1,2762.27,2381.45
Natural_Gas,7.7,45.9,47.81,0.867,1.0,1.0,East,4399.79,17.6,45.4,1543.92,640.89
Coal,3.7,35.23,53.05,0.855,1.0,0.95,East,3509.25,27.0,28.3,8973.28,10654.3
Natural_Gas,37.2,52.3,65.34,0.539,1.0,1.0,East,5373.68,15.4,94.6,2883.13,1346.46
Coal,36.5,31.59,73.21,0.324,1.0,0.95,North,2894.24,15.6,48.9,6668.28,11521.37
Coal,6.4,34.73,75.97,0.761,1.0,1.0,South,5723.19,29.9,56.3,8892.57,11051.87
Hydroelectric,31.5,95.0,28.82,0.916,0.67,1.0,West,4847.05,28.2,63.3,1072.36,17.0
Nuclear,23.3,31.69,82.81,0.738,1.0,1.0,North,5566.98,30.1,41.4,12721.11,409.06
Wind,26.0,36.68,43.33,0.644,0.949,0.95,South,5807.6,34.5,38.1,709.35,12.54
Wind,22.2,36.23,39.57,0.677,0.939,1.0,Central,4358.11,20.7,53.2,875.26,16.75
Natural_Gas,37.1,46.07,69.86,0.409,1.0,1.0,Central,7185.79,27.2,78.9,2685.26,1351.34
Hydroelectric,10.6,89.24,69.41,0.445,1.045,0.95,Central,5345.74,33.5,29.2,73.53,0.99
Coal,8.1,31.67,67.02,0.423,1.0,1.0,East,4676.77,40.5,57.5,6761.04,10710.84
Natural_Gas,3.6,49.48,67.33,0.624,1.0,1.0,North,5830.43,27.7,67.1,4226.31,1499.57
Geothermal,12.4,20.22,46.47,0.688,1.0,1.0,Central,4778.38,40.1,56.0,831.22,82.77
Nuclear,11.9,27.95,83.33,0.891,1.0,1.0,North,4600.56,42.7,11.2,13251.47,408.3
Wind,13.2,31.88,36.02,0.799,1.0,1.0,North,5448.62,23.1,35.7,1462.62,28.9
Hydroelectric,10.3,82.74,45.45,0.676,1.167,1.0,North,5640.2,16.1,92.3,1445.98,22.7
Geothermal,14.8,15.09,47.59,0.842,1.0,1.0,South,3367.2,14.4,9.7,1479.42,197.05
Natural_Gas,38.3,48.74,67.77,0.827,1.0,1.0,East,5444.05,37.9,63.1,4969.9,2506.92
Coal,35.5,27.92,76.31,0.351,1.0,1.0,North,5062.53,21.6,62.3,5978.63,13249.05
Natural_Gas,8.9,57.44,46.67,0.949,1.0,1.0,West,5079.57,26.9,25.5,2470.12,891.24
Oil,7.7,44.38,55.68,0.816,1.0,1.0,West,3661.13,33.5,65.3,2905.96,2697.54
Natural_Gas,1.6,53.61,58.24,0.414,1.0,1.0,West,3749.91,40.0,3.8,3803.34,1218.56
Solar,16.3,24.34,25.72,0.83,0.967,1.0,North,5014.05,34.6,28.6,553.93,66.32
Coal,3.6,37.69,79.01,0.941,1.0,1.0,South,3496.21,4.6,51.4,11905.68,13258.71
Coal,38.9,29.35,69.89,0.607,1.0,1.0,North,2348.16,45.8,43.3,12701.11,27793.02
Nuclear,37.7,22.29,92.45,0.682,1.0,1.0,West,6534.7,34.1,32.3,11540.63,603.23
Nuclear,13.4,30.53,80.87,0.509,1.0,1.0,South,5995.54,33.2,97.9,561.6,18.13
Nuclear,6.2,34.39,93.34,0.964,1.0,1.0,North,5802.37,26.5,78.0,14465.78,369.42
Coal,3.3,32.87,63.0,0.621,1.0,0.95,North,3946.63,25.3,57.9,5134.34,7050.09
Nuclear,32.0,29.69,89.88,0.408,1.0,1.0,East,6076.81,28.9,88.6,7324.02,267.45
Coal,10.8,38.03,67.34,0.774,1.0,1.0,Central,5032.03,22.8,71.8,15154.83,18030.7
Wind,17.5,30.14,31.52,0.35,0.841,1.0,East,6464.79,21.8,64.5,265.05,5.72
Natural_Gas,6.4,50.24,62.31,0.34,1.0,0.95,East,6953.75,17.4,9.4,3145.67,1132.96
Oil,10.8,39.29,86.3,0.66,1.0,1.0,West,6020.12,13.7,7.2,4505.13,4381.45
Wind,39.3,33.11,31.08,0.895,1.034,1.0,Central,3488.68,33.6,10.2,828.51,18.63
Solar,28.3,16.2,23.48,0.5,1.115,1.0,West,7109.36,33.1,11.4,494.51,112.19
Natural_Gas,3.4,43.79,63.92,0.49,1.0,1.0,Central,4514.3,27.7,80.3,3419.87,1580.75
Natural_Gas,17.4,46.12,77.58,0.626,1.0,1.0,East,5415.41,39.7,70.9,1156.5,463.4
Natural_Gas,3.0,52.36,77.02,0.72,1.0,1.0,North,4992.84,38.1,40.7,4813.78,1549.18
Coal,30.0,35.03,70.87,0.717,1.0,1.0,Central,5654.59,27.8,82.9,11145.12,16779.52
Natural_Gas,28.1,50.13,89.7,0.643,1.0,1.0,South,2090.3,30.1,60.0,1012.49,458.77
Coal,24.1,33.07,83.02,0.601,1.0,0.95,East,6592.58,18.3,14.6,6724.17,11406.89
Natural_Gas,38.4,47.99,69.15,0.663,1.0,1.0,Central,4076.91,16.5,64.4,110.02,56.84
Natural_Gas,36.3,46.1,58.02,0.413,1.0,0.95,West,5888.6,30.8,64.7,4553.95,2232.04
Oil,11.4,35.69,73.41,0.801,1.0,0.95,North,3840.0,25.3,62.7,3450.75,3761.72
Coal,2.3,33.04,69.53,0.841,1.0,1.0,South,6457.51,43.0,16.3,6506.37,8899.94
Oil,38.2,34.92,52.6,0.876,1.0,1.0,North,3657.82,32.1,50.0,1211.07,1635.13
Natural_Gas,37.3,43.31,32.92,0.794,1.0,1.0,Central,6117.88,29.7,45.6,889.71,451.32
Coal,22.3,37.83,65.98,0.442,1.0,1.0,Central,7504.64,33.1,16.1,5491.72,8158.01
Coal,21.2,33.7,72.12,0.848,1.0,1.0,West,5699.85,16.1,90.1,10966.61,16870.08
Oil,18.7,40.21,42.9,0.396,1.0,1.0,Central,5329.61,38.3,52.4,436.48,451.99
Oil,3.9,39.25,61.37,0.771,1.0,1.0,North,3004.25,20.7,20.2,1373.5,1248.92
Nuclear,26.5,31.6,83.86,0.872,1.0,1.0,West,5803.1,33.8,22.3,14827.66,494.14
Natural_Gas,2.3,45.47,42.34,0.946,1.0,1.0,Central,3138.78,31.8,45.4,2868.82,1246.35
Coal,23.1,27.35,62.91,0.356,1.0,0.95,East,7767.32,31.1,24.4,4053.43,8248.44
Oil,1.7,42.16,35.32,0.534,1.0,1.0,West,4002.52,30.6,52.9,1960.37,1576.01
Nuclear,16.0,34.51,86.13,0.634,1.0,0.95,North,3587.45,20.3,5.8,11614.84,309.95
Oil,27.2,36.55,51.62,0.385,1.0,0.95,East,3734.86,31.7,38.9,1474.43,1729.21
Coal,20.7,31.9,67.06,0.918,1.0,1.0,North,5181.02,22.8,22.1,8079.22,12916.08
Coal,31.1,35.45,77.12,0.383,1.0,0.95,South,3361.97,29.7,39.1,6918.37,10900.18
Hydroelectric,36.7,89.85,62.52,0.757,0.888,1.0,South,2983.57,37.4,22.1,2443.22,41.74
Natural_Gas,39.8,45.59,43.13,0.596,1.0,1.0,North,3862.08,21.7,63.4,1135.77,615.58
Nuclear,17.7,28.26,95.0,0.685,1.0,1.0,South,1000.0,5.5,20.5,11592.7,382.94
Coal,17.4,32.5,64.67,0.559,1.0,1.0,South,3832.81,35.7,38.9,4465.95,6643.46
Solar,14.0,20.32,24.16,0.624,0.73,1.0,Central,4127.27,25.7,15.9,178.63,23.46
Nuclear,2.0,29.32,78.33,0.521,1.0,1.0,East,6673.5,11.8,74.3,2494.31,76.81
Geothermal,17.0,21.93,73.32,0.452,1.0,1.0,Central,2434.57,34.4,7.4,2026.64,194.48
Coal,6.1,32.08,67.09,0.629,1.0,1.0,North,7249.21,16.0,81.0,3386.59,4894.33
Nuclear,16.4,33.42,78.31,0.709,1.0,1.0,West,6102.25,18.5,47.0,5425.68,158.07
Solar,29.2,14.23,21.5,0.588,0.979,1.0,South,4601.57,14.9,16.4,702.94,175.62
Coal,24.9,29.84,65.79,0.765,1.0,1.0,West,4684.96,32.9,88.9,9949.1,18039.11
Natural_Gas,6.9,41.06,42.91,0.584,1.0,1.0,South,6799.79,33.9,20.9,3251.59,1458.65
Natural_Gas,25.2,51.49,61.43,0.919,1.0,1.0,South,3645.28,23.8,15.0,6688.56,3052.06
Biomass,9.3,21.39,24.88,0.601,1.0,1.0,West,2186.6,33.8,25.9,237.56,146.61
Nuclear,37.9,30.18,77.81,0.562,1.0,1.0,East,6641.49,43.1,19.8,13787.73,540.34
Natural_Gas,13.6,54.74,63.11,0.712,1.0,0.95,South,2822.62,28.2,1.8,5640.15,2052.05
Coal,39.3,27.5,63.25,0.489,1.0,1.0,West,3154.82,20.0,26.9,7285.76,15968.22
Natural_Gas,1.7,45.41,53.7,0.589,1.0,1.0,South,5877.76,21.7,63.3,2749.45,1113.87
Coal,22.5,28.09,66.66,0.637,1.0,1.0,Central,3676.58,39.6,64.2,11963.21,22960.15
Natural_Gas,34.6,49.27,43.8,0.379,1.0,1.0,East,3485.24,18.3,74.6,1961.35,1004.51
Coal,32.6,29.46,69.39,0.956,1.0,1.0,Central,3842.0,18.9,82.4,14252.41,24067.73
Natural_Gas,22.9,42.24,41.41,0.768,1.0,1.0,Central,3881.04,22.7,55.3,2390.79,1220.85
Natural_Gas,24.6,52.42,50.54,0.598,1.0,0.95,North,4411.34,9.3,12.4,2321.5,1007.79
Natural_Gas,11.1,53.72,46.18,0.432,1.0,1.0,East,2174.99,30.7,33.0,1838.82,733.11
Natural_Gas,24.3,47.63,59.84,0.692,1.0,1.0,East,5801.71,23.8,79.7,1278.77,548.66
Solar,35.4,15.33,23.14,0.634,0.685,1.0,Central,5513.08,27.5,71.3,338.4,79.31
Solar,4.4,22.55,24.94,0.873,0.832,1.0,West,5294.44,31.3,51.9,283.78,35.31
Oil,11.0,40.27,54.69,0.697,1.0,1.0,West,6417.1,19.9,55.8,1973.48,1884.14
Natural_Gas,18.2,45.64,41.59,0.861,1.0,1.0,North,3609.39,34.7,34.6,6168.43,2812.19
Natural_Gas,12.5,47.47,69.98,0.829,1.0,1.0,West,6803.74,26.2,13.0,4704.53,2004.17
Natural_Gas,15.7,45.29,74.87,0.956,1.0,1.0,Central,4592.05,48.6,18.6,260.55,112.94
Biomass,15.8,26.85,51.95,0.333,1.0,0.95,Central,6143.51,23.9,62.5,1157.0,659.08
Natural_Gas,36.6,46.9,48.62,0.56,1.0,1.0,East,5576.41,13.4,76.9,5251.04,2868.74
Wind,9.1,31.07,30.97,0.309,0.896,1.0,West,6811.92,21.1,82.5,325.84,6.22
Coal,3.4,30.24,58.56,0.952,1.0,1.0,East,3453.86,16.5,23.4,9795.49,14368.0
Natural_Gas,30.8,45.74,72.45,0.806,1.0,1.0,East,4428.04,18.6,18.6,8630.5,4669.59
Nuclear,20.8,33.78,89.51,0.758,1.0,1.0,East,6718.52,12.6,55.0,12560.49,370.39
Natural_Gas,37.9,47.18,76.96,0.667,1.0,1.0,West,4892.68,34.6,29.9,4437.28,2241.25
Coal,8.3,30.6,54.71,0.529,1.0,0.95,East,3061.65,36.2,88.1,5563.11,8345.27
Geothermal,4.5,14.91,36.38,0.742,1.0,1.0,South,5540.27,16.7,1.8,1461.28,178.26
Coal,10.8,36.94,84.67,0.894,1.0,1.0,South,5240.62,30.9,17.7,19771.51,26769.18
Coal,8.0,38.64,63.91,0.977,1.0,1.0,West,7471.65,32.5,77.3,11482.42,13446.01
Geothermal,28.3,19.92,29.01,0.519,1.0,1.0,West,6915.22,35.5,15.8,476.43,53.59
Natural_Gas,23.5,48.3,44.33,0.308,1.0,1.0,West,4627.56,40.6,46.2,2053.12,1010.1
Natural_Gas,9.6,51.94,59.73,0.832,1.0,0.95,South,6413.29,12.5,49.6,5293.25,1949.41
Hydroelectric,12.7,85.81,43.32,0.897,0.997,0.95,West,6686.95,20.9,5.3,3005.39,42.11
Hydroelectric,28.8,90.52,40.04,0.713,1.207,1.0,Central,3335.98,26.5,61.0,1832.27,30.21
Coal,14.0,29.96,79.02,0.7,1.0,1.0,Central,7101.21,17.5,79.9,2317.92,3612.83
Nuclear,21.3,30.15,81.98,0.36,1.0,1.0,Central,5238.44,37.2,22.4,6171.32,222.68
Solar,28.2,21.94,29.09,0.88,1.046,1.0,North,4760.94,35.7,84.2,534.49,82.93
Coal,1.3,35.91,69.28,0.996,1.0,1.0,East,3374.8,12.2,2.2,9618.3,10827.03
Coal,5.9,35.45,74.25,0.774,1.0,1.0,Central,4491.68,25.5,13.5,10251.86,12928.46
Nuclear,14.0,34.58,82.62,0.52,1.0,1.0,West,5232.14,41.4,32.1,5617.31,164.2
Natural_Gas,10.3,52.46,32.07,0.834,1.0,1.0,West,4406.91,21.5,70.8,2798.32,1011.64
Oil,11.8,32.97,36.47,0.495,1.0,0.95,Central,6726.55,28.8,80.4,955.5,1104.97
Solar,16.2,17.18,22.26,0.635,1.047,1.0,South,7153.29,31.3,45.0,443.13,86.24
Coal,19.0,39.98,91.96,0.443,1.0,1.0,South,4388.59,36.4,65.5,1721.84,2418.08
Natural_Gas,35.5,50.22,74.25,0.74,1.0,1.0,South,5031.52,21.0,84.5,7844.16,3796.98
Natural_Gas,3.9,44.06,38.79,0.663,1.0,1.0,East,6075.56,5.9,56.8,4159.06,1686.76
Nuclear,9.8,31.08,95.0,0.981,1.0,1.0,East,1868.55,28.4,15.2,17349.16,526.47
Hydroelectric,7.3,88.35,39.48,0.983,1.193,1.0,East,3988.03,17.4,98.1,1801.44,24.94
Geothermal,24.1,10.0,54.2,0.924,1.0,1.0,West,4343.92,43.2,92.0,3532.46,750.61
Oil,34.4,33.06,59.17,0.554,1.0,1.0,South,2993.1,34.6,69.8,753.58,1088.18
Natural_Gas,17.2,39.61,78.28,0.42,1.0,1.0,North,3540.09,20.4,12.6,1184.2,669.75
Natural_Gas,5.0,45.42,63.31,0.738,1.0,0.95,Central,3451.12,33.3,35.1,1725.94,655.23
Coal,15.7,30.82,89.72,0.402,1.0,1.0,West,6472.06,21.3,36.7,9133.55,14317.57
Natural_Gas,30.7,44.29,52.38,0.532,1.0,1.0,East,8322.48,10.1,68.2,2270.71,1062.9
Wind,24.7,22.81,40.16,0.973,1.207,1.0,North,3549.71,36.0,96.6,113.23,3.05
Wind,22.8,28.77,29.51,0.695,1.139,0.95,East,4258.35,41.0,75.3,638.9,14.22
Wind,37.4,28.37,40.14,0.834,1.089,1.0,West,5137.2,21.5,13.4,739.97,20.68
